Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Year,Month
16-02-2015 13:02,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,BAYVIEW,"ARREST, BOOKED",1800 Block of BAY SHORE BL,-122.3986042,37.71827481,2015,02
02-02-2015 23:40,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,CENTRAL,"ARREST, BOOKED",300 Block of COLUMBUS AV,-122.4068429,37.79805872,2015,02
19-09-2014 16:32,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,TENDERLOIN,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441,2014,09
05-08-2014 23:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,INGLESIDE,"ARREST, BOOKED",2100 Block of ALEMANY BL,-122.4417331,37.71815048,2014,08
17-11-2013 13:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,CENTRAL,NONE,700 Block of KEARNY ST,-122.4048478,37.79510065,2013,11
12-06-2013 09:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,RICHMOND,COMPLAINANT REFUSES TO PROSECUTE,400 Block of 14TH AV,-122.472844,37.77964577,2013,06
24-12-2012 11:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,BAYVIEW,NONE,1000 Block of CONNECTICUT ST,-122.3970892,37.75359879,2012,12
17-11-2012 10:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,TARAVAL,NONE,2300 Block of 24TH AV,-122.4811832,37.74372682,2012,11
05-10-2010 18:50,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,RICHMOND,"ARREST, BOOKED",2300 Block of SCOTT ST,-122.4394686,37.79140717,2010,10
12-12-2009 22:36,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.4119658,37.78491419,2009,12
16-10-2009 13:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,INGLESIDE,UNFOUNDED,100 Block of BLYTHDALE AV,-122.4205568,37.71089458,2009,10
15-09-2009 21:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,MISSION,"ARREST, BOOKED",800 Block of TREAT AV,-122.4133,37.75655352,2009,09
05-09-2009 00:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,BAYVIEW,NONE,1800 Block of PALOU AV,-122.3961611,37.73688814,2009,09
04-09-2009 19:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,SOUTHERN,NONE,6TH ST / MISSION ST,-122.4087106,37.78097067,2009,09
06-08-2009 11:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,TENDERLOIN,UNFOUNDED,HYDE ST / MARKET ST,-122.4147438,37.77871926,2009,08
08-06-2009 07:38,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,BAYVIEW,NONE,100 Block of WESTPOINT RD,-122.3803823,37.73535382,2009,06
18-04-2009 14:26,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,TENDERLOIN,NONE,EDDY ST / HYDE ST,-122.4158851,37.78351606,2009,04
03-04-2009 21:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,CENTRAL,"ARREST, BOOKED",400 Block of STOCKTON ST,-122.4071145,37.78990198,2009,04
27-12-2008 15:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071,2008,12
23-12-2008 09:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,RICHMOND,CLEARED-CONTACT JUVENILE FOR MORE INFO,0 Block of SEALROCK DR,-122.5070579,37.78081417,2008,12
13-12-2008 16:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,PARK,NONE,1100 Block of SCOTT ST,-122.4372361,37.78033487,2008,12
08-12-2008 13:20,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,SOUTHERN,"ARREST, BOOKED",800 Block of BRANNAN ST,-122.4042874,37.77211798,2008,12
24-11-2008 13:15,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,MISSION,NONE,1000 Block of POTRERO AV,-122.4065391,37.75648641,2008,11
12-07-2008 01:55,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,PARK,"ARREST, BOOKED",DIVISADERO ST / OAK ST,-122.4374224,37.77313233,2008,07
10-07-2008 22:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,BAYVIEW,NONE,1000 Block of GRIFFITH ST,-122.3789208,37.72861197,2008,07
18-04-2008 12:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Friday,PARK,NONE,600 Block of LYON ST,-122.4431602,37.77671289,2008,04
17-04-2008 20:29,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,BAYVIEW,NONE,300 Block of PENINSULA AV,-122.3991806,37.71110953,2008,04
12-12-2007 23:55,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,TENDERLOIN,NONE,300 Block of EDDY ST,-122.4129305,37.78383444,2007,12
11-12-2007 17:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,2007,12
25-07-2007 12:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,PARK,NONE,1100 Block of SCOTT ST,-122.4372361,37.78033487,2007,07
15-07-2007 08:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,MISSION,NONE,2700 Block of BRYANT ST,-122.4089691,37.75038122,2007,07
09-07-2007 14:11,FAMILY OFFENSES,ABANDONMENT OF CHILD,Monday,TARAVAL,NONE,1500 Block of 43RD AV,-122.5024458,37.75775254,2007,07
28-06-2007 19:18,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,SOUTHERN,NONE,100 Block of 10TH ST,-122.4146708,37.77420722,2007,06
01-05-2007 00:01,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,MISSION,NONE,200 Block of CAPP ST,-122.4182779,37.76269529,2007,05
21-03-2007 19:42,FAMILY OFFENSES,ABANDONMENT OF CHILD,Wednesday,CENTRAL,NONE,1000 Block of SUTTER ST,-122.4176507,37.78801585,2007,03
10-03-2007 18:29,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,INGLESIDE,NONE,1900 Block of SUNNYDALE AV,-122.4171448,37.71215029,2007,03
08-03-2007 15:10,FAMILY OFFENSES,ABANDONMENT OF CHILD,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.4130699,37.78202043,2007,03
20-02-2007 00:01,FAMILY OFFENSES,ABANDONMENT OF CHILD,Tuesday,PARK,NONE,1700 Block of EDDY ST,-122.4364431,37.78084932,2007,02
31-12-2006 00:30,FAMILY OFFENSES,ABANDONMENT OF CHILD,Sunday,BAYVIEW,NONE,1400 Block of THOMAS AV,-122.3884624,37.72887867,2006,12
30-12-2006 22:00,FAMILY OFFENSES,ABANDONMENT OF CHILD,Saturday,RICHMOND,NONE,1600 Block of BRODERICK ST,-122.4417019,37.78550202,2006,12
