DateTime,Primary Type,Description,Location,Arrest,Domestic,Area,District,War,Lat,Long
Jan,13,152,70,0,0,37,11,23,41.845,-87.6722
1-Jan,15,147,74,0,0,36,11,23,41.8467,-87.6732
12:00 AM,15,166,78,0,0,33,11,24,41.8523,-87.6744
1:00 AM,14,142,79,0,0,33,12,23,41.8539,-87.6654
2:00 AM,15,169,72,0,0,34,11,22,41.8395,-87.6594
3:00 AM,15,139,68,0,0,32,12,24,41.8542,-87.6698
4:00 AM,13,127,75,0,0,27,12,28,41.8704,-87.6667
5:00 AM,13,132,86,0,0,39,11,20,41.8347,-87.6697
6:00 AM,14,156,77,0,0,41,12,26,41.8726,-87.7054
7:00 AM,19,139,82,0,1,42,8,12,41.8079,-87.655
8:00 AM,15,168,75,1,0,42,11,21,41.8517,-87.6764
9:00 AM,14,163,74,0,0,31,11,24,41.8554,-87.6729
10:00 AM,16,119,73,0,0,44,9,19,41.8218,-87.6656
11:00 AM,16,129,74,0,0,40,8,19,41.81,-87.6649
12:00 PM,15,164,73,0,0,35,12,24,41.8599,-87.6942
1:00 PM,17,142,75,0,0,41,9,19,41.8297,-87.6687
2:00 PM,13,107,85,0,0,43,11,25,41.8406,-87.671
3:00 PM,16,119,76,0,0,41,10,19,41.8336,-87.6781
4:00 PM,10,147,63,0,0,38,11,24,41.8454,-87.6725
5:00 PM,17,157,59,0,0,32,14,28,41.876,-87.6787
6:00 PM,15,172,66,0,0,42,10,21,41.8282,-87.6539
7:00 PM,15,126,59,0,0,38,9,23,41.8316,-87.6618
8:00 PM,14,132,77,0,0,37,12,24,41.8532,-87.7049
9:00 PM,18,146,57,0,0,40,16,29,41.8456,-87.6774
10:00 PM,16,143,78,0,0,38,12,23,41.8493,-87.6846
11:00 PM,15,156,85,0,1,35,13,24,41.8481,-87.6769
2-Jan,13,149,71,0,0,35,11,24,41.8497,-87.6687
12:00 AM,14,157,79,0,0,37,12,21,41.8436,-87.6658
1:00 AM,14,157,75,0,0,35,11,24,41.8431,-87.6575
2:00 AM,13,134,65,0,0,23,14,30,41.8979,-87.6809
3:00 AM,16,175,55,0,0,38,11,23,41.8425,-87.6625
4:00 AM,18,179,63,0,0,39,10,19,41.8168,-87.6637
5:00 AM,11,176,57,0,0,35,10,23,41.858,-87.6836
6:00 AM,18,174,98,0,0,28,12,25,41.8664,-87.7159
7:00 AM,17,177,70,0,0,43,4,10,41.8173,-87.6434
8:00 AM,14,135,85,0,0,32,14,29,41.872,-87.6805
9:00 AM,14,133,74,0,0,41,9,20,41.8102,-87.66
10:00 AM,13,113,79,0,0,45,11,18,41.8087,-87.6697
11:00 AM,14,147,72,0,0,40,13,26,41.8376,-87.6901
12:00 PM,14,157,89,0,0,43,9,19,41.816,-87.659
1:00 PM,13,138,73,0,0,28,12,26,41.8543,-87.6556
2:00 PM,12,143,70,0,0,38,11,25,41.8422,-87.6652
3:00 PM,10,162,67,0,0,35,10,23,41.8459,-87.6749
4:00 PM,18,187,76,0,0,35,10,26,41.8524,-87.6655
5:00 PM,11,130,65,0,0,30,12,23,41.8598,-87.6618
6:00 PM,12,140,65,0,0,37,12,24,41.8437,-87.6688
7:00 PM,12,149,65,0,0,36,12,23,41.8554,-87.6641
8:00 PM,15,137,73,0,0,32,12,27,41.8749,-87.6828
9:00 PM,11,119,67,0,0,27,14,29,41.8815,-87.6885
10:00 PM,12,145,71,0,0,31,11,27,41.8613,-87.6625
11:00 PM,12,173,64,0,0,31,11,27,41.865,-87.661
3-Jan,13,156,68,0,0,36,11,23,41.8445,-87.668
12:00 AM,12,185,68,0,0,29,13,22,41.8671,-87.6824
1:00 AM,14,113,64,0,0,26,15,28,41.876,-87.6848
2:00 AM,14,169,49,0,0,31,13,26,41.8593,-87.6681
3:00 AM,10,189,66,0,0,21,15,32,41.8916,-87.6555
4:00 AM,11,153,69,0,0,38,11,24,41.8451,-87.6718
5:00 AM,18,198,93,0,0,46,7,11,41.8138,-87.6117
6:00 AM,14,170,85,0,0,47,12,20,41.834,-87.6852
7:00 AM,20,102,67,0,0,35,12,22,41.8224,-87.6548
8:00 AM,13,125,77,0,0,33,14,25,41.8406,-87.6651
9:00 AM,15,126,79,0,0,36,9,17,41.8444,-87.6612
10:00 AM,14,165,63,0,0,33,11,27,41.8747,-87.6689
11:00 AM,15,139,70,0,0,37,9,22,41.8371,-87.6565
12:00 PM,11,166,72,0,0,32,12,29,41.8827,-87.6916
1:00 PM,12,179,67,0,0,34,11,27,41.858,-87.6645
2:00 PM,12,167,63,0,0,41,10,22,41.8283,-87.6734
3:00 PM,17,178,72,0,0,45,9,21,41.8237,-87.6655
4:00 PM,13,168,68,0,0,43,11,19,41.8214,-87.6656
5:00 PM,12,142,60,0,0,34,11,24,41.8445,-87.6522
6:00 PM,13,155,69,0,0,32,12,25,41.8615,-87.6789
7:00 PM,12,131,66,0,0,33,12,25,41.854,-87.6778
8:00 PM,13,169,67,0,0,42,11,21,41.818,-87.6632
9:00 PM,17,135,78,0,0,43,8,18,41.8117,-87.6634
10:00 PM,12,148,70,0,0,38,11,19,41.8374,-87.6833
11:00 PM,15,143,78,0,0,41,11,22,41.8336,-87.6489
4-Jan,13,155,72,0,0,38,11,23,41.8439,-87.6734
12:00 AM,14,169,79,0,0,33,13,25,41.8588,-87.6773
1:00 AM,14,144,72,0,0,38,10,21,41.8395,-87.6853
2:00 AM,15,155,100,0,0,29,12,29,41.8742,-87.6972
3:00 AM,18,143,68,0,0,26,15,31,41.8905,-87.6925
4:00 AM,14,174,71,0,0,29,12,25,41.8758,-87.6957
5:00 AM,7,185,73,0,0,34,10,21,41.8445,-87.6664
6:00 AM,15,107,62,0,0,43,9,20,41.8282,-87.692
7:00 AM,10,176,78,0,0,41,12,22,41.8677,-87.6997
8:00 AM,12,161,71,0,0,47,10,23,41.826,-87.6853
9:00 AM,12,190,66,0,0,43,11,22,41.8324,-87.6776
10:00 AM,13,175,67,0,0,33,13,25,41.865,-87.6757
11:00 AM,13,111,75,0,0,46,10,20,41.8444,-87.6667
12:00 PM,12,143,81,0,0,33,11,23,41.8378,-87.654
1:00 PM,12,201,64,0,0,40,9,21,41.8223,-87.6755
2:00 PM,11,152,76,0,0,36,12,24,41.8368,-87.6609
3:00 PM,15,142,68,0,0,30,14,28,41.8786,-87.6933
4:00 PM,11,142,78,0,0,40,10,22,41.8404,-87.6738
5:00 PM,15,188,62,0,0,39,11,21,41.8211,-87.6652
6:00 PM,12,135,71,0,0,37,11,25,41.8525,-87.6702
7:00 PM,12,168,71,0,0,40,11,22,41.8369,-87.6663
8:00 PM,12,136,75,0,0,37,14,24,41.8563,-87.678
9:00 PM,16,149,68,0,0,38,11,23,41.8375,-87.6724
10:00 PM,14,140,71,0,0,36,11,22,41.8424,-87.6608
11:00 PM,14,142,77,0,0,39,10,21,41.8308,-87.6699
5-Jan,13,160,70,0,0,36,11,24,41.8476,-87.6743
12:00 AM,15,134,76,0,0,37,9,20,41.839,-87.6603
1:00 AM,14,140,77,0,0,31,12,20,41.8564,-87.6605
2:00 AM,13,195,67,0,0,21,15,30,41.8841,-87.6565
3:00 AM,12,157,66,0,0,48,13,21,41.8204,-87.6577
4:00 AM,11,133,65,1,0,45,12,12,41.7957,-87.6917
5:00 AM,17,202,65,0,0,32,17,24,41.8541,-87.6696
6:00 AM,16,182,62,0,0,37,13,24,41.8618,-87.7038
7:00 AM,14,154,79,0,0,42,9,16,41.82,-87.6754
8:00 AM,21,140,67,0,0,43,10,20,41.8181,-87.6808
9:00 AM,9,164,82,0,0,39,10,21,41.8358,-87.6778
10:00 AM,11,157,85,0,0,38,9,20,41.8399,-87.6754
11:00 AM,13,198,71,0,0,33,11,31,41.8533,-87.6597
12:00 PM,16,169,69,0,0,34,12,25,41.8508,-87.6639
1:00 PM,12,179,60,0,0,34,9,27,41.8573,-87.6664
2:00 PM,10,148,70,0,0,32,11,23,41.8583,-87.6701
3:00 PM,12,146,72,0,0,39,13,22,41.8481,-87.6917
4:00 PM,10,157,69,0,0,35,12,24,41.8559,-87.6807
5:00 PM,14,137,58,0,0,30,13,29,41.8653,-87.6761
6:00 PM,14,166,72,0,0,34,12,25,41.857,-87.687
7:00 PM,10,155,67,0,0,38,10,23,41.844,-87.6627
8:00 PM,12,145,69,0,0,32,11,25,41.8613,-87.6751
9:00 PM,17,174,71,0,0,42,13,21,41.8182,-87.6782
10:00 PM,13,184,90,0,0,45,12,24,41.8376,-87.6744
11:00 PM,13,178,52,0,0,36,10,22,41.8406,-87.6831
6-Jan,13,159,70,0,0,36,12,24,41.8467,-87.6748
12:00 AM,10,136,69,0,0,38,12,23,41.8374,-87.6784
1:00 AM,10,157,78,0,0,39,5,14,41.8292,-87.6424
2:00 AM,13,145,78,0,0,29,16,29,41.8817,-87.6805
3:00 AM,16,183,61,0,0,39,10,22,41.8083,-87.6546
4:00 AM,10,167,74,0,0,27,6,28,41.8836,-87.6651
5:00 AM,10,192,83,0,0,39,14,22,41.8482,-87.6996
6:00 AM,14,125,86,0,0,44,11,20,41.854,-87.6942
7:00 AM,14,140,82,0,0,40,12,24,41.8266,-87.6707
8:00 AM,12,160,74,0,0,46,12,22,41.8237,-87.6873
9:00 AM,17,163,68,0,0,33,12,25,41.8628,-87.6789
10:00 AM,14,147,71,0,0,37,11,23,41.8517,-87.6727
11:00 AM,12,172,66,0,0,36,12,23,41.8456,-87.6692
12:00 PM,13,156,71,0,0,31,11,26,41.8576,-87.667
1:00 PM,12,158,59,0,0,42,10,22,41.8243,-87.6713
2:00 PM,11,152,64,0,0,37,11,22,41.8409,-87.6705
3:00 PM,15,158,71,0,0,36,10,22,41.8414,-87.6745
4:00 PM,12,155,70,0,0,35,13,24,41.8514,-87.6821
5:00 PM,13,176,73,0,0,35,13,28,41.8504,-87.6714
6:00 PM,14,167,64,0,0,36,10,23,41.8452,-87.6714
7:00 PM,13,145,66,0,0,34,12,24,41.846,-87.6656
8:00 PM,13,163,60,0,0,33,12,23,41.8681,-87.6785
9:00 PM,13,170,71,0,0,33,12,24,41.8524,-87.6744
10:00 PM,14,149,81,0,0,38,15,24,41.8415,-87.6752
11:00 PM,13,184,72,0,0,34,13,25,41.8649,-87.7031
7-Jan,13,150,70,0,0,38,11,23,41.8432,-87.6731
12:00 AM,12,164,75,0,0,35,14,30,41.8915,-87.6949
1:00 AM,11,171,76,0,0,45,11,20,41.8057,-87.6651
2:00 AM,12,132,61,0,0,34,13,25,41.8548,-87.6633
3:00 AM,13,142,80,0,0,34,11,19,41.8366,-87.6529
4:00 AM,11,279,103,0,0,55,14,22,41.7879,-87.6742
5:00 AM,12,113,55,0,0,28,11,10,41.8792,-87.6812
6:00 AM,16,160,71,0,0,30,11,22,41.8648,-87.6911
7:00 AM,9,168,78,0,0,36,12,27,41.8598,-87.6824
8:00 AM,14,124,69,0,0,39,12,22,41.8426,-87.6722
9:00 AM,12,145,76,0,0,31,11,28,41.8706,-87.6681
10:00 AM,13,170,68,0,0,37,12,22,41.8383,-87.662
11:00 AM,17,177,73,0,0,39,10,21,41.8477,-87.6821
12:00 PM,12,166,66,0,0,36,10,22,41.8341,-87.6518
1:00 PM,11,174,75,0,0,33,11,22,41.8487,-87.6675
2:00 PM,12,131,70,0,0,35,9,24,41.8402,-87.6626
